dir;backbone;use_kd;T;use_refinement;entropt_thr;model_size_mb;macs;params;inference_time_ms;throughput_fps;ram_mb;GLOPS;cpu_core
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_kd_T2,5_w-0,001_256x256;b0;True;2,5;False;;68,94539260864258;3143944704;5802463;36,64088249206543;27,291919080184535;957,33203125;171,60856890828543;2
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_kd_T3,0_w-0,001_256x256;b0;True;3,0;False;;68,94539260864258;3143944704;5802463;37,585997581481934;26,605652752254876;958,48046875;167,2934021338295;2
timm-efficientnet-b0_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;0,05;68,94533157348633;3143944704;5802463;43,63917112350464;22,915192343362055;978,55078125;144,08819521810895;2
timm-efficientnet-b0_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;0,05;68,94539260864258;3143944704;5802463;39,99541997909546;25,00286284086211;990,265625;157,21523642673367;2
timm-efficientnet-b0_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;0,15;68,94533157348633;3143944704;5802463;40,625858306884766;24,614864563502216;1030,12109375;154,77554616820012;2
timm-efficientnet-b0_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;0,15;68,94539260864258;3143944704;5802463;36,77908182144165;27,18936826250554;1013,49609375;170,9637407080199;2
timm-efficientnet-b0_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;0,25;68,94533157348633;3143944704;5802463;36,84511184692383;27,140642269036544;1010,25;170,65735704979195;2
timm-efficientnet-b0_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;0,25;68,94539260864258;3143944704;5802463;36,655402183532715;27,281108388690544;1011,875;171,54059247574722;2
timm-efficientnet-b0_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;0,35;68,94533157348633;3143944704;5802463;36,57256364822388;27,342901351367647;1013,5;171,9291397912535;2
timm-efficientnet-b0_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;0,35;68,94539260864258;3143944704;5802463;36,648011207580566;27,28661029750919;1011,0;171,57518786993177;2
timm-efficientnet-b0_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;0,45;68,94533157348633;3143944704;5802463;36,28556728363037;27,55916676686858;1013,4765625;173,28899280669853;2
timm-efficientnet-b0_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;0,45;68,94539260864258;3143944704;5802463;38,513803482055664;25,96471679214751;1017,2265625;163,26326769906407;2
timm-efficientnet-b0_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;1,0;68,94533157348633;3143944704;5802463;35,59902906417847;28,090653770280785;1039,22265625;176,63092430594378;2
timm-efficientnet-b0_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;1,0;68,94539260864258;3143944704;5802463;37,2981071472168;26,811012045543453;1062,453125;168,58467865893311;2
timm-efficientnet-b0_unet/refinement_thr-adaptive_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;adaptive;68,94533157348633;3143944704;5802463;36,93718910217285;27,07298590680184;1092,171875;170,23194132631252;2
timm-efficientnet-b0_unet/refinement_thr-adaptive_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;adaptive;68,94539260864258;3143944704;5802463;37,053799629211426;26,987785598420743;1080,4140625;169,69621120968472;2
timm-efficientnet-b3_unet/imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;False;;146,96746921539307;4003157056;12484523;56,84096813201904;17,5929445409409;1081,18359375;140,85464014976847;2
timm-efficientnet-b3_unet/imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;False;;146,96753025054932;4003157056;12484523;56,88749551773071;17,578555548966285;1081,125;140,7394373602647;2
timm-efficientnet-b3_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;0,05;146,96753025054932;4003157056;12484523;56,55624866485596;17,681512186670187;1081,125;141,5637405416375;2
timm-efficientnet-b3_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;0,05;146,96753025054932;4003157056;12484523;56,78373575210571;17,61067648605555;1081,27734375;140,99660767217313;2
timm-efficientnet-b3_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;0,15;146,96753025054932;4003157056;12484523;56,49387836456299;17,701032907439256;1081,29296875;141,72002956380732;2
timm-efficientnet-b3_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;0,15;146,96753025054932;4003157056;12484523;54,28495407104492;18,42131060277327;1080,35546875;147,4867990405189;2
timm-efficientnet-b3_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;0,25;146,96753025054932;4003157056;12484523;54,27809953689575;18,423636946246543;1080,48828125;147,5054244770983;2
timm-efficientnet-b3_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;0,25;146,96753025054932;4003157056;12484523;53,7946343421936;18,589214560673277;1083,4375;148,83109086811433;2
timm-efficientnet-b3_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;0,35;146,96753025054932;4003157056;12484523;57,045650482177734;17,52982026758414;1132,6875;140,34924738918247;2
timm-efficientnet-b3_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;0,35;146,96753025054932;4003157056;12484523;53,43960523605347;18,712713082044658;1148,7734375;149,81985882258118;2
timm-efficientnet-b3_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;0,45;146,96753025054932;4003157056;12484523;56,93267583847046;17,564605655233958;1155,078125;140,62775012921466;2
timm-efficientnet-b3_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;0,45;146,96753025054932;4003157056;12484523;52,56074666976929;19,025604911643267;1137,33203125;152,324969093426;2
timm-efficientnet-b3_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;1,0;146,96753025054932;4003157056;12484523;52,273547649383545;19,130134551175672;1135,33203125;153,16186622153657;2
timm-efficientnet-b3_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;1,0;146,96753025054932;4003157056;12484523;52,23386287689209;19,144668705756267;1137,45703125;153,27823122846118;2
